id,countryid,recorddate,cases,deaths
7098,216,2020-04-10,2,4
7099,216,2020-04-09,0,0
7100,216,2020-04-08,0,0
7101,216,2020-04-07,0,0
7102,216,2020-04-06,0,0
7103,216,2020-04-05,0,0
7104,216,2020-04-04,0,6
7105,216,2020-04-03,0,2
7106,216,2020-04-02,0,0
7107,216,2020-04-01,0,0
7108,216,2020-03-31,0,0
7109,216,2020-03-30,0,0
7110,216,2020-03-29,0,0
7111,216,2020-03-28,0,0
7112,216,2020-03-27,0,4
7113,216,2020-03-26,0,0
7114,216,2020-03-25,0,2
7115,216,2020-03-24,0,0
7116,216,2020-03-23,0,0
7117,216,2020-03-22,0,0
7118,216,2020-03-21,0,0
7119,216,2020-03-15,0,1
7120,217,2020-06-14,30,1531
7121,217,2020-06-13,20,1391
7122,217,2020-06-12,30,1373
7123,217,2020-06-11,18,1239
7124,217,2020-06-10,24,1141
7125,217,2020-06-09,29,826
7126,217,2020-06-08,16,774
7127,217,2020-06-07,16,983
7128,217,2020-06-06,44,1769
7129,217,2020-06-05,5,0
7130,217,2020-06-04,14,949
7131,217,2020-06-03,13,904
7132,217,2020-06-02,17,564
7133,217,2020-06-01,11,637
7134,217,2020-05-31,8,795
7135,217,2020-05-30,12,717
7136,217,2020-05-29,8,769
7137,217,2020-05-28,16,705
7138,217,2020-05-27,17,600
7139,217,2020-05-26,15,552
7140,217,2020-05-25,7,723
7141,217,2020-05-24,12,704
7142,217,2020-05-23,17,718
7143,217,2020-05-22,13,648
7144,217,2020-05-21,10,474
7145,217,2020-05-20,11,438
7146,217,2020-05-19,16,566
7147,217,2020-05-18,3,0
7148,217,2020-05-17,7,326
7149,217,2020-05-16,3,345
7150,217,2020-05-15,24,255
7151,217,2020-05-14,10,316
7152,217,2020-05-13,14,529
7153,217,2020-05-12,5,245
7154,217,2020-05-11,0,13
7155,217,2020-05-10,7,165
7156,217,2020-05-09,11,240
7157,217,2020-05-08,9,163
7158,217,2020-05-07,9,188
7159,217,2020-05-06,4,133
7160,217,2020-05-05,14,104
7161,217,2020-05-04,9,102
7162,217,2020-05-03,12,149
7163,217,2020-05-02,7,104
7164,217,2020-05-01,4,143
7165,217,2020-04-30,7,158
7166,217,2020-04-29,10,124
7167,217,2020-04-28,11,223
7168,217,2020-04-27,1,0
7169,217,2020-04-26,18,344
7170,217,2020-04-25,2,0
7171,217,2020-04-24,6,147
7172,217,2020-04-23,8,144
7173,217,2020-04-22,9,112
7174,217,2020-04-21,8,90
7175,217,2020-04-20,2,102
7176,217,2020-04-19,10,170
7177,217,2020-04-18,7,98
7178,217,2020-04-17,6,128
7179,217,2020-04-16,4,0
7180,217,2020-04-15,7,160
7181,217,2020-04-14,3,69
7182,217,2020-04-13,6,66
7183,217,2020-04-12,7,162
7184,217,2020-04-11,3,81
7185,217,2020-04-10,14,99
7186,217,2020-04-09,5,80
7187,217,2020-04-08,7,87
7188,217,2020-04-07,7,74
7189,217,2020-04-06,3,103
7190,217,2020-04-05,6,186
7191,217,2020-04-04,3,132
7192,217,2020-04-03,3,0
7193,217,2020-04-02,7,167
7194,217,2020-04-01,0,0
7195,217,2020-03-31,4,146
7196,217,2020-03-30,1,75
7197,217,2020-03-29,2,55
7198,217,2020-03-28,5,101
7199,217,2020-03-27,4,87
7200,217,2020-03-26,2,115
7201,217,2020-03-25,2,86
